,,,S01,S01,S02,S02,S03,S03,S04,S04,S05,S05,S06,S06,S07,S07,S08,S08,S09,S09,S10,S10,S11,S11,S12,S12,S13,S13,S14,S14,S15,S15,S16,S16,S17,S17,S18,S18,S19,S19,S20,S20,S21,S21,S22,S22,S23,S23,S24,S24,S25,S25,S26,S26,S27,S27,S28,S28,S29,S29,S30,S30,S31,S31,S32,S32,S33,S33,S34,S34,S35,S35,S36,S36,S37,S37,S38,S38,S39,S39,S40,S40,S41,S41,S42,S42,S43,S43,S44,S44,S45,S45,S46,S46,S47,S47,S48,S48,S49,S49,S50,S50,S51,S51
,,,OCCUPANCY STATUS,OCCUPANCY STATUS,OCCUPANCY STATUS,OCCUPANCY STATUS,OCCUPANCY STATUS,OCCUPANCY STATUS,TENURE,TENURE,TENURE,TENURE,TENURE,TENURE,TENURE,TENURE,TENURE,TENURE,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,VACANCY STATUS,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER,TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER
,,,Total housing units,Total housing units,Total housing units,Total housing units,Total housing units,Total housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Vacant housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units,Occupied housing units
,,,,,Occupied housing units,Occupied housing units,Vacant housing units,Vacant housing units,,,Owner occupied,Owner occupied,Owner occupied,Owner occupied,Owner occupied,Owner occupied,Renter occupied,Renter occupied,,,For rent,For rent,"Rented, not occupied","Rented, not occupied",For sale only,For sale only,"Sold, not occupied","Sold, not occupied","For seasonal, recreational, or occasional use","For seasonal, recreational, or occasional use",For migratory workers,For migratory workers,Other vacant,Other vacant,,,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Owner-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units,Renter-occupied housing units
,,,,,,,,,,,,,Owned with a mortgage or loan,Owned with a mortgage or loan,Owned free and clear,Owned free and clear,,,,,,,,,,,,,,,,,,,,,,,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,,,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Not Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder,Hispanic or Latino householder
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White alone householder,White alone householder,Black or African American alone householder,Black or African American alone householder,American Indian and Alaska Native alone householder,American Indian and Alaska Native alone householder,Asian alone householder,Asian alone householder,Native Hawaiian and Other Pacific Islander alone householder,Native Hawaiian and Other Pacific Islander alone householder,Some Other Race alone householder,Some Other Race alone householder,Two or More Races householder,Two or More Races householder,,,White alone householder,White alone householder,Black or African American alone householder,Black or African American alone householder,American Indian and Alaska Native alone householder,American Indian and Alaska Native alone householder,Asian alone householder,Asian alone householder,Native Hawaiian and Other Pacific Islander alone householder,Native Hawaiian and Other Pacific Islander alone householder,Some Other Race alone householder,Some Other Race alone householder,Two or More Races householder,Two or More Races householder,,,,,White alone householder,White alone householder,Black or African American alone householder,Black or African American alone householder,American Indian and Alaska Native alone householder,American Indian and Alaska Native alone householder,Asian alone householder,Asian alone householder,Native Hawaiian and Other Pacific Islander alone householder,Native Hawaiian and Other Pacific Islander alone householder,Some Other Race alone householder,Some Other Race alone householder,Two or More Races householder,Two or More Races householder,,,White alone householder,White alone householder,Black or African American alone householder,Black or African American alone householder,American Indian and Alaska Native alone householder,American Indian and Alaska Native alone householder,Asian alone householder,Asian alone householder,Native Hawaiian and Other Pacific Islander alone householder,Native Hawaiian and Other Pacific Islander alone householder,Some Other Race alone householder,Some Other Race alone householder,Two or More Races householder,Two or More Races householder
GEO.id,GEO.id2,GEO.display-label,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02,HD01,HD02
Id,Id2,Geography,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
1400000US25001010100,25001010100,"Census Tract 101, Barnstable County, Massachusetts",4494,100.0,1765,39.3,2729,60.7,1765,100.0,983,55.7,623,35.3,360,20.4,782,44.3,2729,100.0,158,5.8,32,1.2,77,2.8,10,0.4,2372,86.9,13,0.5,67,2.5,1765,100.0,983,55.7,967,54.8,945,53.5,10,0.6,0,0.0,3,0.2,0,0.0,1,0.1,8,0.5,16,0.9,13,0.7,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1,1,0.1,782,44.3,744,42.2,685,38.8,32,1.8,4,0.2,5,0.3,0,0.0,1,0.1,17,1.0,38,2.2,22,1.2,2,0.1,2,0.1,0,0.0,0,0.0,10,0.6,2,0.1
1400000US25001010206,25001010206,"Census Tract 102.06, Barnstable County, Massachusetts",4305,100.0,1366,31.7,2939,68.3,1366,100.0,1090,79.8,595,43.6,495,36.2,276,20.2,2939,100.0,84,2.9,5,0.2,33,1.1,11,0.4,2755,93.7,1,0.0,50,1.7,1366,100.0,1090,79.8,1085,79.4,1071,78.4,3,0.2,1,0.1,3,0.2,0,0.0,3,0.2,4,0.3,5,0.4,4,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,276,20.2,273,20.0,263,19.3,3,0.2,3,0.2,0,0.0,0,0.0,1,0.1,3,0.2,3,0.2,3,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1400000US25001010208,25001010208,"Census Tract 102.08, Barnstable County, Massachusetts",3077,100.0,984,32.0,2093,68.0,984,100.0,762,77.4,465,47.3,297,30.2,222,22.6,2093,100.0,24,1.1,2,0.1,27,1.3,3,0.1,1987,94.9,7,0.3,43,2.1,984,100.0,762,77.4,752,76.4,744,75.6,2,0.2,0,0.0,1,0.1,0,0.0,1,0.1,4,0.4,10,1.0,8,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.2,222,22.6,217,22.1,202,20.5,13,1.3,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1,5,0.5,2,0.2,1,0.1,1,0.1,0,0.0,0,0.0,1,0.1,0,0.0
